"model_cfg","1 Month","3 Month","6 Month","12 Month"
"LASSO_No SIS_min",0.493506493506494,0.552631578947368,0.5,0.608108108108108
"RIDGE_No SIS_min",0.519480519480519,0.552631578947368,0.447368421052632,0.378378378378378
"ELASTIC_NET_No SIS_min",0.467532467532468,0.31578947368421,0.342105263157895,0.310810810810811
"LASSO_No SIS_1se",0.493506493506494,0.552631578947368,0.5,0.608108108108108
"RIDGE_No SIS_1se",0.519480519480519,0.552631578947368,0.447368421052632,0.378378378378378
"ELASTIC_NET_No SIS_1se",0.519480519480519,0.539473684210526,0.539473684210526,0.581081081081081
"LASSO_SIS_min",0.545454545454545,0.302631578947368,0.355263157894737,0.472972972972973
"RIDGE_SIS_min",0.48051948051948,0.342105263157895,0.342105263157895,0.391891891891892
"ELASTIC_NET_SIS_min",0.532467532467532,0.355263157894737,0.342105263157895,0.432432432432432
"LASSO_SIS_1se",0.532467532467532,0.31578947368421,0.355263157894737,0.472972972972973
"RIDGE_SIS_1se",0.506493506493506,0.355263157894737,0.355263157894737,0.337837837837838
"ELASTIC_NET_SIS_1se",0.493506493506494,0.31578947368421,0.342105263157895,0.432432432432432
