"horizon","model","VaR_95","CVaR_95","Mean_Strategy_Return","MSE","RMSE","Level_MSE","Accuracy","Precision","Recall","F1","TP","TN","FP","FN","Num_Selected","best_hyperparam","SIS","lambda_rule"
"6 Month","LASSO",-0.546194147288262,-0.850281035834122,-0.0131459633716656,0.173770456631883,0.416857837436077,799.47009239582,0.5,0.461538461538462,0.333333333333333,0.387096774193548,12,26,14,24,102,"0.01","No SIS","min"
"6 Month","RIDGE",-0.553872607477715,-0.850281035834122,-0.0405229815244214,0.143135742557778,0.37833284625813,406.767128211825,0.447368421052632,0.384615384615385,0.277777777777778,0.32258064516129,10,24,16,26,945,"1","No SIS","min"
"6 Month","ELASTIC_NET",-0.486806787773701,-0.783117772740545,-0.0840945243619348,0.100711308614254,0.317350450786279,352.794709025366,0.342105263157895,0.393939393939394,0.722222222222222,0.509803921568627,26,0,40,10,4,"alpha=0.8, lambda=0.1","No SIS","min"
"6 Month","LASSO",-0.546194147288262,-0.850281035834122,-0.0131459633716656,0.173770456631883,0.416857837436077,799.47009239582,0.5,0.461538461538462,0.333333333333333,0.387096774193548,12,26,14,24,102,"0.01","No SIS","1se"
"6 Month","RIDGE",-0.553872607477715,-0.850281035834122,-0.0405229815244214,0.143135742557778,0.37833284625813,406.767128211825,0.447368421052632,0.384615384615385,0.277777777777778,0.32258064516129,10,24,16,26,945,"1","No SIS","1se"
"6 Month","ELASTIC_NET",-0.553872607477715,-0.850281035834122,-0.021700567109614,0.139865090839479,0.373985415276423,401.040999317402,0.539473684210526,0.518518518518518,0.388888888888889,0.444444444444444,14,27,13,22,154,"alpha=0.1, lambda=0.1","No SIS","1se"
"6 Month","LASSO",-0.546194147288262,-0.850281035834122,-0.0653292033714862,0.134264768093227,0.366421571544618,725.293120788586,0.355263157894737,0.333333333333333,0.361111111111111,0.346666666666667,13,14,26,23,7,"0.01","SIS","min"
"6 Month","RIDGE",-0.553872607477715,-0.850281035834122,-0.0783717476783403,0.113525647846016,0.336935673157379,429.481413322223,0.342105263157895,0.333333333333333,0.388888888888889,0.358974358974359,14,12,28,22,10,"0.212095088792019","SIS","min"
"6 Month","ELASTIC_NET",-0.553872607477715,-0.850281035834122,-0.0783717476783403,0.117294452060964,0.34248277629826,465.758026754859,0.342105263157895,0.333333333333333,0.388888888888889,0.358974358974359,14,12,28,22,9,"alpha=0.1, lambda=0.0828642772854684","SIS","min"
"6 Month","LASSO",-0.546194147288262,-0.850281035834122,-0.0653292033714862,0.134264768093227,0.366421571544618,725.293120788586,0.355263157894737,0.333333333333333,0.361111111111111,0.346666666666667,13,14,26,23,7,"0.01","SIS","1se"
"6 Month","RIDGE",-0.553872607477715,-0.850281035834122,-0.0827882314195219,0.0908612343134747,0.301431972944933,317.084598691428,0.355263157894737,0.36734693877551,0.5,0.423529411764706,18,9,31,18,10,"1","SIS","1se"
"6 Month","ELASTIC_NET",-0.553872607477715,-0.850281035834122,-0.0783717476783403,0.111600385129482,0.334066438196779,417.336206830967,0.342105263157895,0.333333333333333,0.388888888888889,0.358974358974359,14,12,28,22,9,"alpha=0.1, lambda=0.1","SIS","1se"
"12 Month","LASSO",-0.553479523265675,-0.920466433718788,0.0985566343119926,0.361490624163044,0.601240903601081,12817.2849911754,0.608108108108108,0.545454545454545,0.5625,0.553846153846154,18,27,15,14,132,"0.01","No SIS","min"
"12 Month","RIDGE",-0.718511292444533,-0.924736571872931,-0.073785488464122,0.220837511534483,0.469933518207079,918.752855987459,0.378378378378378,0.28125,0.28125,0.28125,9,19,23,23,945,"1","No SIS","min"
"12 Month","ELASTIC_NET",-0.727819052534491,-0.955044592192962,-0.134168748178598,0.24733136777651,0.497324207913218,755.073089656499,0.310810810810811,0.27906976744186,0.375,0.32,12,11,31,20,12,"alpha=0.9, lambda=0.1","No SIS","min"
"12 Month","LASSO",-0.553479523265675,-0.920466433718788,0.0985566343119926,0.361490624163044,0.601240903601081,12817.2849911754,0.608108108108108,0.545454545454545,0.5625,0.553846153846154,18,27,15,14,132,"0.01","No SIS","1se"
"12 Month","RIDGE",-0.718511292444533,-0.924736571872931,-0.073785488464122,0.220837511534483,0.469933518207079,918.752855987459,0.378378378378378,0.28125,0.28125,0.28125,9,19,23,23,945,"1","No SIS","1se"
"12 Month","ELASTIC_NET",-0.553479523265675,-0.920466433718788,0.078420301202247,0.186967326456229,0.432397185994808,1058.90112450725,0.581081081081081,0.516129032258065,0.5,0.507936507936508,16,27,15,16,201.5,"alpha=0.1, lambda=0.1","No SIS","1se"
"12 Month","LASSO",-0.613924273154606,-0.902085121073904,-0.0487720286646139,0.193362040140772,0.43972950792592,1023.75262743623,0.472972972972973,0.41025641025641,0.5,0.450704225352113,16,19,23,16,9,"0.01","SIS","min"
"12 Month","RIDGE",-0.613924273154606,-0.902085121073904,-0.0701590651607048,0.169889282184441,0.412176275620567,609.462937830186,0.391891891891892,0.355555555555556,0.5,0.415584415584416,16,13,29,16,10,"0.494171336132383","SIS","min"
"12 Month","ELASTIC_NET",-0.613924273154606,-0.902085121073904,-0.0571212664789391,0.176733283363132,0.420396578676768,671.446657613295,0.432432432432432,0.380952380952381,0.5,0.432432432432432,16,16,26,16,9,"alpha=0.1, lambda=0.1","SIS","min"
"12 Month","LASSO",-0.613924273154606,-0.902085121073904,-0.0487720286646139,0.193362040140772,0.43972950792592,1023.75262743623,0.472972972972973,0.41025641025641,0.5,0.450704225352113,16,19,23,16,9,"0.01","SIS","1se"
"12 Month","RIDGE",-0.613924273154606,-0.902085121073904,-0.0886922144394521,0.168690152347611,0.410719067426399,613.308037917457,0.337837837837838,0.326530612244898,0.5,0.395061728395062,16,9,33,16,10,"1","SIS","1se"
"12 Month","ELASTIC_NET",-0.613924273154606,-0.902085121073904,-0.0571212664789391,0.176733283363132,0.420396578676768,671.446657613295,0.432432432432432,0.380952380952381,0.5,0.432432432432432,16,16,26,16,9,"alpha=0.1, lambda=0.1","SIS","1se"
