"model_cfg","1 Month","3 Month","6 Month","12 Month"
"LASSO_No SIS_min",51.1164461696321,246.628030983946,799.47009239582,12817.2849911754
"RIDGE_No SIS_min",52.2572463637407,215.683270844604,406.767128211825,918.752855987459
"ELASTIC_NET_No SIS_min",51.4925792583124,196.505832023882,352.794709025366,755.073089656499
"LASSO_No SIS_1se",51.1164461696321,246.628030983946,799.47009239582,12817.2849911754
"RIDGE_No SIS_1se",52.2572463637407,215.683270844604,406.767128211825,918.752855987459
"ELASTIC_NET_No SIS_1se",50.4645199729396,213.608161761424,401.040999317402,1058.90112450725
"LASSO_SIS_min",49.7717116237552,210.51526957333,725.293120788586,1023.75262743623
"RIDGE_SIS_min",50.071137280063,201.331469361651,429.481413322223,609.462937830186
"ELASTIC_NET_SIS_min",49.9438346459756,210.783940453858,465.758026754859,671.446657613295
"LASSO_SIS_1se",49.4581785495577,202.678666397554,725.293120788586,1023.75262743623
"RIDGE_SIS_1se",49.3744912206913,186.686058401975,317.084598691428,613.308037917457
"ELASTIC_NET_SIS_1se",49.2953047992089,194.983520194769,417.336206830967,671.446657613295
