date,actual,predicted
2018-05-01,-0.0763688548606609,0.05586051745467069
2018-06-01,-0.147275652747801,-0.007663420535469726
2018-07-01,-0.14980547622479,0.018504382821614714
2018-08-01,-0.205785089083104,0.04872296242496009
2018-09-01,-0.227621810692143,0.11946793584340584
2018-10-01,-0.305319945913733,0.030048116052086
2018-11-01,-0.0240711840954404,0.040080186222248765
2018-12-01,0.159961617731257,0.1127787924643446
2019-01-01,0.068936762635766,0.153386937438231
2019-02-01,-0.138996131868009,0.11493460231000363
2019-03-01,-0.725725353571875,0.06459019294262193
2019-04-01,-1.35465096106272,0.057678895972013686
2019-05-01,-0.886862622249208,0.11895160425163459
2019-06-01,-0.466707913798005,0.09444248261867369
2019-07-01,-0.390866308687011,0.0880465166069748
2019-08-01,-0.277347224230233,0.04174538121105489
2019-09-01,-0.429058134473548,0.03579437263352413
2019-10-01,-0.395881302097791,0.004680003328953797
2019-11-01,-0.392497815714337,-0.0110540571633047
2019-12-01,-0.297485828597143,0.04110728938337164
2020-01-01,-0.150256726207785,0.06025292384729394
2020-02-01,0.112378590868053,-0.11659564113283183
2020-03-01,0.714626797991349,-0.31450942764697076
2020-04-01,1.26019679551208,1.478126161803385
2020-05-01,0.846957434852001,1.1847660969779594
2020-06-01,0.597042048659302,1.531968252628469
2020-07-01,0.55298622241837,0.5013274335874829
2020-08-01,0.458284580461363,-0.4240560341192356
2020-09-01,0.599290356246878,-0.574579898756027
2020-10-01,0.73170735060792,-0.5348095022452735
2020-11-01,0.641101547411814,-0.003560242687890333
2020-12-01,0.394536770322988,-0.15024169325015405
2021-01-01,0.457117415396652,0.15032773816138056
2021-02-01,0.444409940448442,-0.10405428362203056
2021-03-01,0.583633255353267,-0.1455244857622485
2021-04-01,0.47849241632036,0.02065865778988249
2021-05-01,0.503120545143741,0.1405541061527427
2021-06-01,0.517175024465791,-0.0902128575447713
2021-07-01,0.398121460711798,-0.21822079279756698
2021-08-01,0.350507554737597,-0.3160702497032088
2021-09-01,0.186474553586201,-0.08061348177725856
2021-10-01,0.110816040508626,-0.5203424458936153
2021-11-01,0.120398024721913,-0.3109952333546375
2021-12-01,0.0871012565510778,-0.23434432296023316
2022-01-01,-0.0474617208516479,-0.1920290812263927
2022-02-01,-0.162161679591613,-0.07361298072863992
2022-03-01,-0.402101900101814,-0.10483089261717946
2022-04-01,-0.211545360649995,-0.038964033720052846
2022-05-01,-0.406656924444696,-0.03842526259387189
2022-06-01,-0.494471346582567,-0.11627235501550717
2022-07-01,-0.33447298567415,-0.11790120636626582
2022-08-01,-0.153570128287005,0.06713791923709848
2022-09-01,0.0431721718652085,-0.14637688684528505
2022-10-01,-0.0296873865287219,-0.13820198366976158
2022-11-01,-0.0973468180853629,-0.05520014622523823
2022-12-01,-0.0415070618819557,-0.03592853337410124
2023-01-01,-0.0292727825430177,0.02698950243690198
2023-02-01,0.0107184743863744,-0.15424000760166426
2023-03-01,0.0852566827334806,-0.1763973641172172
2023-04-01,0.0607358132325722,-0.20493937789282216
2023-05-01,0.0799305834805857,-0.17338588181363043
2023-06-01,0.094410888239592,-0.11123172260584324
2023-07-01,0.0610137168816713,-0.004378950023118133
2023-08-01,-0.0695734230272045,-0.06204628605715853
2023-09-01,-0.235976286681585,-0.019609827512183514
2023-10-01,-0.180601183180996,0.05448694965609479
2023-11-01,-0.10933378191207101,0.041923137829101426
2023-12-01,-0.0497825409931716,0.04357979041628414
2024-01-01,-0.0106657639485528,-0.11155264810499117
2024-02-01,-0.101269443883798,-0.13751092849700866
2024-03-01,-0.160709235791606,-0.15044866670375606
2024-04-01,-0.277725136556985,-0.1682539541725958
2024-05-01,-0.237776080392166,0.04701169863183024
2024-06-01,-0.140905453077237,-0.03598781049660985
