actual,predicted,date,brent_spot_price,log_brent,pred_level,actual_level
-0.0763688548606609,0.12700562848342317,2018-05-01,76.98,4.3435456478556,87.40489398443123,71.31999999999996
-0.147275652747801,0.11699193639657661,2018-06-01,74.41,4.30959034140917,83.6450522800236,64.22000000000008
-0.14980547622479,0.14085995115129527,2018-07-01,74.25,4.30743777768281,85.48130771579532,63.920000000000044
-0.205785089083104,0.1163337994110158,2018-08-01,72.53,4.28400026937532,81.47808340335322,59.039999999999935
-0.227621810692143,0.09284418100721238,2018-09-01,78.89,4.368054477107,86.5652667316888,62.8300000000001
-0.305319945913733,0.06471133995723205,2018-10-01,81.03,4.39481945647263,86.44693836699892,59.70999999999978
-0.0240711840954404,0.025248133836966686,2018-11-01,64.75,4.17053370057965,66.40562949345782,63.21000000000015
0.159961617731257,0.02043420187360078,2018-12-01,57.36,4.04934719629136,58.54416333143732,67.3099999999997
0.068936762635766,0.07084538946853271,2019-01-01,59.41,4.08446256236765,63.77160010560349,63.650000000000006
-0.138996131868009,0.07804759491379788,2019-02-01,63.96,4.15825788796575,69.15189644876588,55.6599999999998
-0.725725353571875,0.07407513854133242,2019-03-01,66.14,4.19177370755365,71.22535368364487,32.0100000000001
-1.35465096106272,0.0347924479459654,2019-04-01,71.23,4.26591407799026,73.7518829143628,18.37999999999998
-0.886862622249208,-0.022274222312449254,2019-05-01,71.32,4.26717679299494,69.74896421886652,29.380000000000024
-0.466707913798005,-0.05298317817974667,2019-06-01,64.22,4.16231468866137,60.90598894259431,40.270000000000095
-0.390866308687011,-0.030313214635462847,2019-07-01,63.92,4.15763230145802,62.011452567825124,43.24000000000006
-0.277347224230233,-0.0027991428226123534,2019-08-01,59.04,4.07821518029222,58.874969687214744,44.74000000000018
-0.429058134473548,-0.017862124531989258,2019-09-01,62.83,4.14043266641486,61.71768643138488,40.91000000000018
-0.395881302097791,-0.09134335706904735,2019-10-01,59.71,4.0894995105589,54.49757217830358,40.189999999999976
-0.392497815714337,-0.019368108802768923,2019-11-01,63.21,4.14646251648421,61.997521452996885,42.69000000000008
-0.297485828597143,-0.021078298157612772,2019-12-01,67.31,4.20930881402262,65.90606797944474,49.98999999999991
-0.150256726207785,-0.11218327976885711,2020-01-01,63.65,4.15339932500342,56.89548824230391,54.770000000000266
0.112378590868053,-0.13900816045557884,2020-02-01,55.66,4.01926175609774,48.43649679849276,62.27999999999971
0.714626797991349,-0.10111187335993549,2020-03-01,32.01,3.46604835398177,28.93165951966149,65.40999999999987
1.26019679551208,0.14455707985619456,2020-04-01,18.38,2.91126311692754,21.23859821496745,64.80999999999972
0.846957434852001,0.20291973877265695,2020-05-01,29.38,3.38031417074573,35.98974042044995,68.52999999999992
0.597042048659302,0.18463457542676298,2020-06-01,40.27,3.69560677486336,48.435903680169446,73.15999999999974
0.55298622241837,0.13734574373727637,2020-07-01,43.24,3.76676599277101,49.605997140287435,75.17000000000021
0.458284580461363,0.060892924308075976,2020-08-01,44.74,3.80086795606198,47.54900580544877,70.74999999999974
0.599290356246878,-0.019744686757792264,2020-09-01,40.91,3.71137453194131,40.110167074604384,74.49000000000022
0.73170735060792,0.0510483224482566,2020-10-01,40.19,3.69361820846111,42.29490082482886,83.54000000000008
0.641101547411814,0.1000641075374585,2020-11-01,42.69,3.75396470076987,47.182771166966106,81.04999999999991
0.394536770322988,0.25816828985368817,2020-12-01,49.99,3.91182298542548,64.71488748561296,74.17000000000009
0.457117415396652,0.33905501192339926,2021-01-01,54.77,4.00314259879563,76.87629801399491,86.50999999999999
0.444409940448442,0.4392555195310747,2021-02-01,62.28,4.1316403469658,96.63063915986291,97.13000000000028
0.583633255353267,0.38635534332746835,2021-03-01,65.41,4.18067515197312,96.25784682511254,117.24999999999986
0.47849241632036,0.334371599706692,2021-04-01,64.81,4.17145991243962,90.54360085994267,104.57999999999953
0.503120545143741,0.3679753736500152,2021-05-01,68.53,4.22727160559773,99.01258658224597,113.33999999999975
0.517175024465791,0.4041245016668401,2021-06-01,73.16,4.29264882352266,109.59298041884617,122.7099999999993
0.398121460711798,0.37676104400407295,2021-07-01,75.17,4.31975221518938,109.56448271703613,111.93000000000026
0.350507554737597,0.43479183965806295,2021-08-01,70.75,4.25915253652335,109.2833855860672,100.45000000000029
0.186474553586201,0.3932409619410492,2021-09-01,74.49,4.31066488818819,110.37744938144179,89.76000000000043
0.110816040508626,0.3970073202554561,2021-10-01,83.54,4.42532555906903,124.25462396874619,93.33000000000004
0.120398024721913,0.31875703319631676,2021-11-01,81.05,4.39506624818168,111.47755624742358,91.41999999999949
0.0871012565510778,0.310234470381145,2021-12-01,74.17,4.30635975574847,101.14895436888386,80.92000000000021
-0.0474617208516479,0.24691990825756202,2022-01-01,86.51,4.46026001419228,110.73942537772383,82.49999999999974
-0.162161679591613,0.21798585027718564,2022-02-01,97.13,4.57605028741424,120.78790275040463,82.5900000000001
-0.402101900101814,0.1833709832714421,2022-03-01,117.25,4.76430840732639,140.84773180866043,78.43000000000005
-0.211545360649995,0.12471831904993144,2022-04-01,104.58,4.64995232875998,118.47128941592592,84.63999999999962
-0.406656924444696,0.11517481601843899,2022-05-01,113.34,4.73039215074147,127.17536576232214,75.4699999999998
-0.494471346582567,0.04222652652711232,2022-06-01,122.71,4.80982384798846,128.00257418216626,74.84000000000029
-0.33447298567415,0.0011993788450489185,2022-07-01,111.93,4.71787367590118,112.06432701251283,80.11000000000038
-0.153570128287005,1.2150723764968596e-4,2022-08-01,100.45,4.60966009126094,100.4622061435739,86.14999999999966
