date,actual,predicted
2018-09-01,-0.176280769553352,0.03005716532804391
2018-10-01,-0.128905378482371,0.029959885125096397
2018-11-01,0.0966430924152917,0.02981932638588227
2018-12-01,0.112967492370004,0.029931142227808863
2019-01-01,0.0731697390903694,0.02964299428479536
2019-02-01,-0.0800427076735364,0.029192430381422156
2019-03-01,-0.0513410411387909,0.028252110893655202
2019-04-01,-0.176414567431362,0.027613633120237027
2019-05-01,-0.120714276510732,0.02676062799658436
2019-06-01,0.0469941253612536,0.026158466902531208
2019-07-01,-0.00423297645460341,0.02648441722417532
2019-08-01,-0.0589534241944722,0.026675349970063423
2019-09-01,-0.674384312433084,0.026435700699133875
2019-10-01,-1.17823639363136,0.02396281200041831
2019-11-01,-0.766148345738476,0.019625050656586054
2019-12-01,-0.513702039159259,0.016853550320438393
2020-01-01,-0.386633332232408,0.014864276039020328
2020-02-01,-0.218393800035761,0.013719553603244911
2020-03-01,0.245326177959535,0.013194386989504661
2020-04-01,0.782355091533569,0.014073449872653312
2020-05-01,0.373650530024139,-0.043185638542386474
2020-06-01,0.216216210562116,-0.1249315356651184
2020-07-01,0.236376606024623,-0.07881584641189474
2020-08-01,0.330772390903814,-0.06911324435847777
2020-09-01,0.469300620031814,-0.055830194030802915
2020-10-01,0.477841703978515,-0.07291849373268283
2020-11-01,0.473306904827862,-0.1087853620457357
2020-12-01,0.380825838097186,-0.34253885309469523
2021-01-01,0.316609616393747,-0.005518341750345575
2021-02-01,0.12751218955755,-0.0019186758231372648
2021-03-01,0.129989736215064,0.0036534337872161995
2021-04-01,0.253865646629404,0.012930371544619311
2021-05-01,0.167794642583953,0.019974003206920738
2021-06-01,0.013710932225802,0.013597356810520626
2021-07-01,0.140507799002905,0.00414330802394047
2021-08-01,0.316897750890893,0.010639042777642735
2021-09-01,0.453643519138203,0.014598797021955087
2021-10-01,0.224626769690955,0.01231823977333485
2021-11-01,0.335325902559788,0.01669793065502712
2021-12-01,0.503464092239989,0.01796466435917052
2022-01-01,0.257613661708893,0.0278486906370018
2022-02-01,0.0336098038467041,0.02333713313290752
2022-03-01,-0.267168965552002,0.02962975861677346
2022-04-01,-0.113810729182329,0.02928935880748171
2022-05-01,-0.214927877837875,0.03035134239104144
2022-06-01,-0.416362835688911,0.026892625742373236
2022-07-01,-0.305075382560541,0.01957247958720778
2022-08-01,-0.195771483438318,0.025013124215171267
2022-09-01,-0.134932934549812,0.02563968522191326
2022-10-01,-0.0977346314676666,0.0178371640054121
2022-11-01,-0.191729046606821,0.018431563070013392
2022-12-01,-0.0781085108936557,0.019680513446151054
2023-01-01,-0.0293976031136092,0.01709557400668888
2023-02-01,0.0422013551513123,0.02258706482308
2023-03-01,0.17810510641502,0.025093289976535923
2023-04-01,0.0680472449389447,0.015559903968442763
2023-05-01,0.0943822285214582,0.021150506993438026
2023-06-01,0.0366014490116999,0.03885551506318345
2023-07-01,1.24820570591488e-4,0.030865024717895213
2023-08-01,-0.0314828807649379,0.03381696279925923
2023-09-01,-0.0928484236815397,0.031559052354713645
2023-10-01,-0.0073114317063725,0.02917669789016055
2023-11-01,-0.0144516450408725,0.034436202553971645
2023-12-01,0.0578094392278921,0.0334318848148916
2024-01-01,0.0608888963110799,0.03400128306346331
2024-02-01,-0.0380905422622666,0.03174814564233418
2024-03-01,-0.143127863000045,0.02927149580820964
2024-04-01,-0.173289751474623,0.02739228863568731
2024-05-01,-0.094882136871199,0.02430397728353037
2024-06-01,-0.107591980221064,0.026525464242341486
2024-07-01,-0.0715546602596326,0.025556799494984062
2024-08-01,-0.0631789016215318,0.021178570447753575
2024-09-01,-0.017581372791561,0.01978997087703611
2024-10-01,-0.104435385082361,0.02098539565759658
2024-11-01,-0.142893943520967,0.0167974014082859
2024-12-01,-0.0333134728561735,0.016501307133519147
